station_name,Latitude,Longitude
金桥路,31.20608860225471,121.10507437566268
博兴路,31.271406237608744,121.59855221943049
五莲路,31.275158359220942,121.59358099673828
巨峰路,31.41317208480195,121.71751760286396
东靖路,31.29833553201941,121.63808709407739
五洲大道,31.3111869064969,121.5621028445493
洲海路,31.3222633843323,121.61312578904106
外高桥保税区南站,31.32722808340621,121.60890563958576
航津路,31.345423421026933,121.6226310291338
外高桥保税区北站,31.353852859283375,121.59376973072594
港城路,31.357819330790498,121.55431471543888
美兰湖,31.407439628032336,121.36911421251601
罗南新村,31.835599975365863,121.33840213526592
潘广路,31.376292098965127,121.39035823952149
刘行,31.363614279990248,121.38378075674686
顾村公园,31.350168471009603,121.3793539071937
祁华路,31.328537502048068,121.38518373029234
上海大学,31.32005764915826,121.40221497394768
